name,Protein,Energy,"Carbohydrate, by difference",Total lipid (fat),foodPortions
"Non-dairy milk, NFS","{'Amount': 1.04, 'unit': 'g'}","{'Amount': 29.0, 'unit': 'kcal'}","{'Amount': 3.75, 'unit': 'g'}","{'Amount': 1.17, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
Soy milk,"{'Amount': 2.6, 'unit': 'g'}","{'Amount': 43.0, 'unit': 'kcal'}","{'Amount': 4.92, 'unit': 'g'}","{'Amount': 1.47, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Soy milk, light","{'Amount': 2.38, 'unit': 'g'}","{'Amount': 30.0, 'unit': 'kcal'}","{'Amount': 3.51, 'unit': 'g'}","{'Amount': 0.77, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Soy milk, nonfat","{'Amount': 2.47, 'unit': 'g'}","{'Amount': 28.0, 'unit': 'kcal'}","{'Amount': 4.14, 'unit': 'g'}","{'Amount': 0.04, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Soy milk, chocolate","{'Amount': 2.26, 'unit': 'g'}","{'Amount': 63.0, 'unit': 'kcal'}","{'Amount': 9.95, 'unit': 'g'}","{'Amount': 1.53, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Soy milk, light, chocolate","{'Amount': 2.1, 'unit': 'g'}","{'Amount': 47.0, 'unit': 'kcal'}","{'Amount': 8.24, 'unit': 'g'}","{'Amount': 0.64, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Soy milk, nonfat, chocolate","{'Amount': 2.1, 'unit': 'g'}","{'Amount': 47.0, 'unit': 'kcal'}","{'Amount': 8.24, 'unit': 'g'}","{'Amount': 0.64, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Almond milk, sweetened","{'Amount': 0.38, 'unit': 'g'}","{'Amount': 30.0, 'unit': 'kcal'}","{'Amount': 5.24, 'unit': 'g'}","{'Amount': 0.93, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Almond milk, sweetened, chocolate","{'Amount': 0.43, 'unit': 'g'}","{'Amount': 41.0, 'unit': 'kcal'}","{'Amount': 8.34, 'unit': 'g'}","{'Amount': 0.95, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Almond milk, unsweetened","{'Amount': 0.4, 'unit': 'g'}","{'Amount': 15.0, 'unit': 'kcal'}","{'Amount': 1.31, 'unit': 'g'}","{'Amount': 0.96, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Almond milk, unsweetened, chocolate","{'Amount': 0.46, 'unit': 'g'}","{'Amount': 16.0, 'unit': 'kcal'}","{'Amount': 1.48, 'unit': 'g'}","{'Amount': 1.0, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
Rice milk,"{'Amount': 0.28, 'unit': 'g'}","{'Amount': 47.0, 'unit': 'kcal'}","{'Amount': 9.17, 'unit': 'g'}","{'Amount': 0.97, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
Coconut milk,"{'Amount': 0.21, 'unit': 'g'}","{'Amount': 31.0, 'unit': 'kcal'}","{'Amount': 2.92, 'unit': 'g'}","{'Amount': 2.08, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, NFS","{'Amount': 5.25, 'unit': 'g'}","{'Amount': 63.0, 'unit': 'kcal'}","{'Amount': 7.04, 'unit': 'g'}","{'Amount': 1.55, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, Greek, NS as to type of milk or flavor","{'Amount': 9.95, 'unit': 'g'}","{'Amount': 73.0, 'unit': 'kcal'}","{'Amount': 3.94, 'unit': 'g'}","{'Amount': 1.92, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 150, 'portionDescription': '1 container, NFS'}, {'gramWeight': 150, 'portionDescription': '1 5.3 oz container'}, {'gramWeight': 150, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, NS as to type of milk or flavor","{'Amount': 5.25, 'unit': 'g'}","{'Amount': 63.0, 'unit': 'kcal'}","{'Amount': 7.04, 'unit': 'g'}","{'Amount': 1.55, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
"Yogurt, NS as to type of milk, plain","{'Amount': 5.25, 'unit': 'g'}","{'Amount': 63.0, 'unit': 'kcal'}","{'Amount': 7.04, 'unit': 'g'}","{'Amount': 1.55, 'unit': 'g'}","[{'gramWeight': 245, 'portionDescription': '1 cup'}, {'gramWeight': 170, 'portionDescription': '1 6 oz container'}, {'gramWeight': 170, 'portionDescription': '1 container, NFS'}, {'gramWeight': 113, 'portionDescription': '1 4 oz container'}, {'gramWeight': 170, 'portionDescription': 'Quantity not specified'}]"
